"","date","Block","plot","species","X.cover"
"95","5/28/14",1,5,"Ruellia_humilis",1
"210","8/24/14",1,5,"Schizachyrium_scoparius",12
"215","8/24/14",1,5,"Solidago_canadensis",3
"211","8/24/14",1,5,"Sorghastrum_nutans",8
"222","8/24/14",1,6,"Ambrosia_psilostachya",6
"223","8/24/14",1,6,"Amorpha_canescens",6
"216","8/24/14",1,6,"Andropogon_gerardii",70
"224","8/24/14",1,6,"Aster_oblongifolia",2
"99","5/28/14",1,6,"Baptisia_bracteata",2
"217","8/24/14",1,6,"Bouteloua_curtipendula",20
"97","5/28/14",1,6,"Carex_heliophila",15
"218","8/24/14",1,6,"Dicanthelium_oligosanthes",2
"225","8/24/14",1,6,"Lespedeza_capitata",4
"219","8/24/14",1,6,"Panicum_virgatum",15
"226","8/24/14",1,6,"Rhus_glabra",6
"101","5/28/14",1,6,"Ruellia_humilis",1
"227","8/24/14",1,6,"Salvia_azurea",1
"220","8/24/14",1,6,"Schizachyrium_scoparius",10
"221","8/24/14",1,6,"Sorghastrum_nutans",5
"228","8/24/14",1,7,"Andropogon_gerardii",50
"105","5/28/14",1,7,"Asclepias_verticillata",1
"236","8/24/14",1,7,"Aster_ericoides",1
"237","8/24/14",1,7,"Aster_oblongifolia",4
"106","5/28/14",1,7,"Baptisia_bracteata",12
"229","8/24/14",1,7,"Bouteloua_curtipendula",20
"234","8/24/14",1,7,"Carex_heliophila",4
"103","5/28/14",1,7,"Carex_meadii",6
"102","5/28/14",1,7,"Dicanthelium_oligosanthes",2
"107","5/28/14",1,7,"Physalis_pumila",1
"239","8/24/14",1,7,"Salvia_azurea",6
"231","8/24/14",1,7,"Sorghastrum_nutans",7
"232","8/24/14",1,7,"Sporobolus_asper",4
"233","8/24/14",1,7,"Sporobolus_heterolepis",30
"240","8/24/14",1,8,"Andropogon_gerardii",70
"246","8/24/14",1,8,"Baptisia_bracteata",19
"241","8/24/14",1,8,"Bouteloua_curtipendula",15
"245","8/24/14",1,8,"Carex_heliophila",13
"247","8/24/14",1,8,"Dalea_candida",4
"242","8/24/14",1,8,"Dicanthelium_oligosanthes",9
"248","8/24/14",1,8,"Lespedeza_capitata",5
"243","8/24/14",1,8,"Panicum_virgatum",4
"112","5/28/14",1,8,"Physalis_pumila",2
"113","5/28/14",1,8,"Rhus_glabra",1
"249","8/24/14",1,8,"Ruellia_humilis",2
"250","8/24/14",1,8,"Salvia_azurea",4
"251","8/24/14",1,8,"Solidago_missouriensis",3
"244","8/24/14",1,8,"Sorghastrum_nutans",2
"258","8/24/14",1,9,"Ambrosia_psilostachya",2
"259","8/24/14",1,9,"Amorpha_canescens",6
"252","8/24/14",1,9,"Andropogon_gerardii",90
"260","8/24/14",1,9,"Aster_ericoides",1
"253","8/24/14",1,9,"Bouteloua_curtipendula",4
"58","5/28/14",1,9,"Carex_heliophila",4
"57","5/28/14",1,9,"Carex_meadii",9
"56","5/28/14",1,9,"Dicanthelium_oligosanthes",3
"261","8/24/14",1,9,"Rhus_glabra",4
"61","5/28/14",1,9,"Ruellia_humilis",1
"262","8/24/14",1,9,"Salvia_azurea",6
"255","8/24/14",1,9,"Schizachyrium_scoparius",5
"256","8/24/14",1,9,"Sorghastrum_nutans",10
"257","8/24/14",1,9,"Sporobolus_asper",2
"269","8/24/14",1,10,"Ambrosia_psilostachya",1
"65","5/28/14",1,10,"Amorpha_canescens",20
"263","8/24/14",1,10,"Andropogon_gerardii",100
"271","8/24/14",1,10,"Aster_oblongifolia",1
"264","8/24/14",1,10,"Bouteloua_curtipendula",3
"67","5/28/14",1,10,"Callirhoe_involucrata",1
"64","5/28/14",1,10,"Carex_heliophila",2
"63","5/28/14",1,10,"Carex_meadii",11
"265","8/24/14",1,10,"Dicanthelium_oligosanthes",4
"266","8/24/14",1,10,"Eragrostis_spectabilis",1
"267","8/24/14",1,10,"Panicum_virgatum",18
"272","8/24/14",1,10,"Ruellia_humilis",6
"273","8/24/14",1,10,"Salvia_azurea",3
"268","8/24/14",1,10,"Sorghastrum_nutans",15
"286","8/24/14",2,1,"Amaranthus_rudis",3
"279","8/24/14",2,1,"Ambrosia_psilostachya",1
"274","8/24/14",2,1,"Andropogon_gerardii",70
"280","8/24/14",2,1,"Aster_ericoides",1
"275","8/24/14",2,1,"Bouteloua_curtipendula",5
"46","5/28/14",2,1,"Carex_brevior",2
"48","5/28/14",2,1,"Carex_gravita",11
"47","5/28/14",2,1,"Carex_meadii",12
"51","5/28/14",2,1,"Cornus_drumondii",1
"44","5/28/14",2,1,"Dicanthelium_oligosanthes",3
"281","8/24/14",2,1,"Lespedeza_violacea",70
"282","8/24/14",2,1,"Oxalis_stricta",1
"50","5/28/14",2,1,"Oxalis_violacea",30
"45","5/28/14",2,1,"Poa_pratensis",1
"49","5/28/14",2,1,"Ruellia_humilis",1
"284","8/24/14",2,1,"Solidago_canadensis",19
"277","8/24/14",2,1,"Sorghastrum_nutans",55
"278","8/24/14",2,1,"Sporobolus_asper",7
"285","8/24/14",2,1,"Vernonia_baldwinii",5
"291","8/24/14",2,2,"Ambrosia_psilostachya",4
"287","8/24/14",2,2,"Andropogon_gerardii",90
"292","8/24/14",2,2,"Aster_ericoides",4
"54","5/28/14",2,2,"Carex_gravita",6
"53","5/28/14",2,2,"Carex_meadii",5
"297","8/24/14",2,2,"Cornus_drumondii",1
"52","5/28/14",2,2,"Dicanthelium_oligosanthes",1
"293","8/24/14",2,2,"Kuhnia_eupatoriodes",2
"290","8/24/14",2,2,"Rubus_occidentalis",1
"55","5/28/14",2,2,"Ruellia_humilis",1
"295","8/24/14",2,2,"Solidago_canadensis",3
"296","8/24/14",2,2,"Solidago_rigida",2
"289","8/24/14",2,2,"Sorghastrum_nutans",40
"298","8/24/14",2,3,"Andropogon_gerardii",70
"302","8/24/14",2,3,"Aster_ericoides",20
"5","5/28/14",2,3,"Baptisia_bracteata",11
"299","8/24/14",2,3,"Bouteloua_curtipendula",7
"4","5/28/14",2,3,"Carex_brevior",1
"3","5/28/14",2,3,"Carex_heliophila",2
"2","5/28/14",2,3,"Carex_meadii",11
"306","8/24/14",2,3,"Cornus_drumondii",6
"1","5/28/14",2,3,"Dicanthelium_oligosanthes",2
"303","8/24/14",2,3,"Solidago_canadensis",1
"304","8/24/14",2,3,"Solidago_missouriensis",80
"300","8/24/14",2,3,"Sorghastrum_nutans",40
"301","8/24/14",2,3,"Sporobolus_asper",3
"305","8/24/14",2,3,"Vernonia_baldwinii",1
"307","8/24/14",2,4,"Andropogon_gerardii",55
"313","8/24/14",2,4,"Aster_ericoides",1
"14","5/28/14",2,4,"Baptisia_australis",6
"11","5/28/14",2,4,"Baptisia_bracteata",6
"308","8/24/14",2,4,"Bouteloua_curtipendula",2
"321","8/24/14",2,4,"Callirhoe_involucrata",1
"8","5/28/14",2,4,"Carex_gravita",1
"10","5/28/14",2,4,"Carex_heliophila",4
"9","5/28/14",2,4,"Carex_meadii",9
"7","5/28/14",2,4,"Dicanthelium_oligosanthes",1
"312","8/24/14",2,4,"Eupatorium_altissimum",2
"314","8/24/14",2,4,"Lespedeza_capitata",2
"310","8/24/14",2,4,"Panicum_virgatum",32
"315","8/24/14",2,4,"Rhus_glabra",2
"13","5/28/14",2,4,"Ruellia_humilis",1
"317","8/24/14",2,4,"Salvia_azurea",5
"318","8/24/14",2,4,"Solidago_canadensis",4
"319","8/24/14",2,4,"Solidago_missouriensis",4
"311","8/24/14",2,4,"Sorghastrum_nutans",45
"320","8/24/14",2,4,"Vernonia_baldwinii",1
"327","8/24/14",2,5,"Ambrosia_psilostachya",4
"322","8/24/14",2,5,"Andropogon_gerardii",45
"17","5/28/14",2,5,"Asclepias_verticillata",1
"328","8/24/14",2,5,"Aster_oblongifolia",5
"323","8/24/14",2,5,"Bouteloua_curtipendula",3
"19","5/28/14",2,5,"Callirhoe_involucrata",2
"16","5/28/14",2,5,"Carex_heliophila",14
"15","5/28/14",2,5,"Dicanthelium_oligosanthes",4
"329","8/24/14",2,5,"Lespedeza_capitata",1
"330","8/24/14",2,5,"Rhus_glabra",60
"20","5/28/14",2,5,"Rubus_occidentalis",7
"331","8/24/14",2,5,"Salvia_azurea",4
"325","8/24/14",2,5,"Sorghastrum_nutans",55
"326","8/24/14",2,5,"Sporobolus_heterolepis",3
"332","8/24/14",2,5,"Vernonia_baldwinii",4
"334","8/24/14",2,6,"Andropogon_gerardii",20
"343","8/24/14",2,6,"Antennaria_neglecta",2
"335","8/24/14",2,6,"Bouteloua_curtipendula",15
"24","5/28/14",2,6,"Callirhoe_involucrata",1
"21","5/28/14",2,6,"Carex_heliophila",15
"339","8/24/14",2,6,"Lespedeza_capitata",20
"340","8/24/14",2,6,"Rhus_glabra",30
"23","5/28/14",2,6,"Ruellia_humilis",1
"336","8/24/14",2,6,"Schizachyrium_scoparius",22
"341","8/24/14",2,6,"Solidago_rigida",3
"337","8/24/14",2,6,"Sorghastrum_nutans",10
"338","8/24/14",2,6,"Sporobolus_heterolepis",15
"342","8/24/14",2,6,"Vernonia_baldwinii",3
"348","8/24/14",2,7,"Ambrosia_psilostachya",1
"344","8/24/14",2,7,"Andropogon_gerardii",80
"349","8/24/14",2,7,"Aster_sericeus",2
"28","5/28/14",2,7,"Baptisia_bracteata",9
"345","8/24/14",2,7,"Bouteloua_curtipendula",3
"27","5/28/14",2,7,"Carex_heliophila",3
"26","5/28/14",2,7,"Carex_meadii",8
"354","8/24/14",2,7,"Eupatorium_altissimum",2
"350","8/24/14",2,7,"Lespedeza_capitata",5
"351","8/24/14",2,7,"Rhus_glabra",10
"352","8/24/14",2,7,"Salvia_azurea",2
"353","8/24/14",2,7,"Solidago_missouriensis",1
"346","8/24/14",2,7,"Sorghastrum_nutans",15
"347","8/24/14",2,7,"Sporobolus_heterolepis",18
"359","8/24/14",2,8,"Ambrosia_psilostachya",1
"355","8/24/14",2,8,"Andropogon_gerardii",55
"360","8/24/14",2,8,"Aster_ericoides",1
"31","5/28/14",2,8,"Carex_gravita",1
"32","5/28/14",2,8,"Carex_heliophila",1
"365","8/24/14",2,8,"Cornus_drumondii",1
"356","8/24/14",2,8,"Dicanthelium_oligosanthes",5
"361","8/24/14",2,8,"Lespedeza_capitata",6
"362","8/24/14",2,8,"Rhus_glabra",7
"364","8/24/14",2,8,"Rubus_occidentalis",5
"363","8/24/14",2,8,"Salvia_azurea",3
"357","8/24/14",2,8,"Sorghastrum_nutans",30
"358","8/24/14",2,8,"Sporobolus_heterolepis",25
"377","8/24/14",2,9,"Amaranthus_rudis",1
"366","8/24/14",2,9,"Andropogon_gerardii",60
"370","8/24/14",2,9,"Aster_ericoides",1
"37","5/28/14",2,9,"Carex_brevior",2
"35","5/28/14",2,9,"Carex_gravita",5
"36","5/28/14",2,9,"Carex_meadii",4
"39","5/28/14",2,9,"Cornus_drumondii",1
"371","8/24/14",2,9,"Lespedeza_capitata",5
"372","8/24/14",2,9,"Lespedeza_violacea",2
"38","5/28/14",2,9,"Ruellia_humilis",2
"374","8/24/14",2,9,"Solidago_canadensis",75
"375","8/24/14",2,9,"Solidago_rigida",1
"367","8/24/14",2,9,"Sorghastrum_nutans",65
"368","8/24/14",2,9,"Sporobolus_asper",4
"376","8/24/14",2,9,"Vernonia_baldwinii",1
"385","8/24/14",2,10,"Amaranthus_rudis",1
"378","8/24/14",2,10,"Andropogon_gerardii",90
"41","5/28/14",2,10,"Carex_heliophila",1
"40","5/28/14",2,10,"Carex_meadii",1
"380","8/24/14",2,10,"Kuhnia_eupatoriodes",23
"381","8/24/14",2,10,"Lespedeza_violacea",2
"43","5/28/14",2,10,"Psoralea_argophylla",15
"382","8/24/14",2,10,"Rhus_glabra",1
"383","8/24/14",2,10,"Ruellia_humilis",6
"384","8/24/14",2,10,"Solidago_canadensis",6
"379","8/24/14",2,10,"Sorghastrum_nutans",25
"392","8/24/14",3,1,"Ambrosia_psilostachya",1
"393","8/24/14",3,1,"Amorpha_canescens",17
"386","8/24/14",3,1,"Andropogon_gerardii",90
"390","8/24/14",3,1,"Carex_meadii",27
"122","5/28/14",3,1,"Convolvulus_arvensis",1
"116","5/28/14",3,1,"Cornus_drumondii",1
"115","5/28/14",3,1,"Dicanthelium_oligosanthes",2
"118","5/28/14",3,1,"Eleocharis_compressa",1
"394","8/24/14",3,1,"Physalis_pumila",1
"121","5/28/14",3,1,"Rhus_glabra",1
"391","8/24/14",3,1,"Rubus_occidentalis",4
"395","8/24/14",3,1,"Solidago_canadensis",45
"388","8/24/14",3,1,"Sorghastrum_nutans",35
"124","5/28/14",3,2,"Amorpha_canescens",13
"396","8/24/14",3,2,"Andropogon_gerardii",90
"123","5/28/14",3,2,"Carex_meadii",1
"401","8/24/14",3,2,"Lespedeza_violacea",15
"397","8/24/14",3,2,"Panicum_virgatum",2
"402","8/24/14",3,2,"Ruellia_humilis",1
"403","8/24/14",3,2,"Solidago_canadensis",32
"398","8/24/14",3,2,"Sorghastrum_nutans",40
"404","8/24/14",3,3,"Andropogon_gerardii",100
"406","8/24/14",3,3,"Carex_meadii",4
"407","8/24/14",3,3,"Lespedeza_violacea",75
"408","8/24/14",3,3,"Solidago_canadensis",3
"405","8/24/14",3,3,"Sorghastrum_nutans",5
"414","8/24/14",3,4,"Ambrosia_psilostachya",1
"415","8/24/14",3,4,"Amorpha_canescens",25
"409","8/24/14",3,4,"Andropogon_gerardii",80
"128","5/28/14",3,4,"Carex_meadii",26
"412","8/24/14",3,4,"Cornus_drumondii",8
"410","8/24/14",3,4,"Dicanthelium_oligosanthes",3
"130","5/28/14",3,4,"Ruellia_humilis",1
"417","8/24/14",3,4,"Solidago_canadensis",20
"411","8/24/14",3,4,"Sorghastrum_nutans",45
"423","8/24/14",3,5,"Ambrosia_psilostachya",1
"418","8/24/14",3,5,"Andropogon_gerardii",90
"133","5/28/14",3,5,"Asclepias_verticillata",1
"421","8/24/14",3,5,"Carex_brevior",3
"422","8/24/14",3,5,"Carex_meadii",11
"134","5/28/14",3,5,"Physalis_pumila",4
"419","8/24/14",3,5,"Sorghastrum_nutans",45
"420","8/24/14",3,5,"Sporobolus_asper",4
"426","8/24/14",3,5,"Vernonia_baldwinii",5
"431","8/24/14",3,6,"Amorpha_canescens",16
"427","8/24/14",3,6,"Andropogon_gerardii",100
"429","8/24/14",3,6,"Carex_brevior",2
"430","8/24/14",3,6,"Carex_meadii",20
"432","8/24/14",3,6,"Ruellia_humilis",2
"433","8/24/14",3,6,"Salvia_azurea",1
"434","8/24/14",3,6,"Solidago_canadensis",6
"428","8/24/14",3,6,"Sorghastrum_nutans",15
"440","8/24/14",3,7,"Amorpha_canescens",2
"435","8/24/14",3,7,"Andropogon_gerardii",90
"141","5/28/14",3,7,"Asclepias_verticillata",1
"438","8/24/14",3,7,"Carex_meadii",16
"142","5/28/14",3,7,"Physalis_pumila",6
"140","5/28/14",3,7,"Rubus_occidentalis",1
"441","8/24/14",3,7,"Ruellia_humilis",3
"442","8/24/14",3,7,"Solidago_missouriensis",15
"436","8/24/14",3,7,"Sorghastrum_nutans",45
"437","8/24/14",3,7,"Sporobolus_asper",2
"446","8/24/14",3,8,"Ambrosia_psilostachya",5
"447","8/24/14",3,8,"Amorpha_canescens",20
"443","8/24/14",3,8,"Andropogon_gerardii",98
"144","5/28/14",3,8,"Carex_meadii",2
"448","8/24/14",3,8,"Lespedeza_violacea",1
"146","5/28/14",3,8,"Oxalis_stricta",1
"147","5/28/14",3,8,"Ruellia_humilis",1
"450","8/24/14",3,8,"Solidago_missouriensis",32
"444","8/24/14",3,8,"Sorghastrum_nutans",10
"148","5/28/14",3,8,"Viola_petidifida",1
"461","8/24/14",3,9,"Amaranthus_rudis",1
"456","8/24/14",3,9,"Ambrosia_psilostachya",1
"152","5/28/14",3,9,"Amorpha_canescens",6
"451","8/24/14",3,9,"Andropogon_gerardii",100
"149","5/28/14",3,9,"Carex_brevior",1
"454","8/24/14",3,9,"Carex_meadii",8
"151","5/28/14",3,9,"Cornus_drumondii",3
"452","8/24/14",3,9,"Panicum_virgatum",22
"458","8/24/14",3,9,"Ruellia_humilis",4
"459","8/24/14",3,9,"Salvia_azurea",2
"453","8/24/14",3,9,"Schizachyrium_scoparius",15
"460","8/24/14",3,9,"Solidago_canadensis",7
"472","8/24/14",3,10,"Amorpha_canescens",50
"462","8/24/14",3,10,"Andropogon_gerardii",75
"463","8/24/14",3,10,"Bouteloua_curtipendula",3
"468","8/24/14",3,10,"Carex_brevior",8
"156","5/28/14",3,10,"Carex_heliophila",2
"469","8/24/14",3,10,"Carex_meadii",7
"471","8/24/14",3,10,"Cornus_drumondii",5
"159","5/28/14",3,10,"Dalea_candida",3
"464","8/24/14",3,10,"Dicanthelium_oligosanthes",3
"465","8/24/14",3,10,"Panicum_virgatum",65
"160","5/28/14",3,10,"Ruellia_humilis",4
"475","8/24/14",3,10,"Salvia_azurea",7
"476","8/24/14",3,10,"Solidago_missouriensis",3
"466","8/24/14",3,10,"Sorghastrum_nutans",30
"467","8/24/14",3,10,"Sporobolus_asper",4
