"","date","Block","plot","species","X.cover"
"90","6/26/14",2,1,"Carex_duriuscula",12
"91","6/26/14",2,1,"Elymus_elymoides",17
"92","6/26/14",2,1,"Euphorbia_glyptosperma",1
"93","6/26/14",2,1,"Festuca_octoflora",5
"94","6/26/14",2,1,"Oenothera_albicaulis",8
"95","6/26/14",2,1,"Sphaeralcea_coccinea",1
"355","8/17/14",2,1,"Sporobolus_cryptandrus",1
"358","8/17/14",2,1,"Thelesperma_filifolium",7
"361","8/17/14",2,2,"Artemisia_frigida",1
"98","6/26/14",2,2,"Bouteloua_gracilis",75
"99","6/26/14",2,2,"Carex_duriuscula",4
"362","8/17/14",2,2,"Chrysothamnus_nauseosus",2
"100","6/26/14",2,2,"Elymus_elymoides",12
"101","6/26/14",2,2,"Euphorbia_glyptosperma",1
"102","6/26/14",2,2,"Festuca_octoflora",9
"103","6/26/14",2,2,"Plantago_patagonica",1
"104","6/26/14",2,2,"Sphaeralcea_coccinea",4
"106","6/26/14",2,3,"Bouteloua_gracilis",73
"107","6/26/14",2,3,"Carex_duriuscula",14
"109","6/26/14",2,3,"Elymus_elymoides",10
"110","6/26/14",2,3,"Festuca_octoflora",7
"369","8/17/14",2,3,"Muhlenbergia_torreyi",2
"112","6/26/14",2,3,"Pascopyrum_smithii",17
"113","6/26/14",2,3,"Sphaeralcea_coccinea",3
"371","8/17/14",2,3,"Sporobolus_cryptandrus",3
"373","8/17/14",2,3,"Thelesperma_filifolium",35
"376","8/17/14",2,4,"Bouteloua_gracilis",75
"118","6/26/14",2,4,"Cryptantha_minima",2
"120","6/26/14",2,4,"Elymus_elymoides",8
"121","6/26/14",2,4,"Euphorbia_glyptosperma",1
"122","6/26/14",2,4,"Festuca_octoflora",14
"381","8/17/14",2,4,"Ipomopsis_laxiflora",10
"124","6/26/14",2,4,"Oenothera_albicaulis",30
"125","6/26/14",2,4,"Sphaeralcea_coccinea",2
"378","8/17/14",2,4,"Sporobolus_cryptandrus",1
"383","8/17/14",2,4,"Thelesperma_filifolium",5
"128","6/26/14",2,5,"Bouteloua_gracilis",71
"386","8/17/14",2,5,"Bouteloua_hirsuta",11
"129","6/26/14",2,5,"Carex_duriuscula",9
"130","6/26/14",2,5,"Elymus_elymoides",11
"131","6/26/14",2,5,"Euphorbia_glyptosperma",1
"132","6/26/14",2,5,"Festuca_octoflora",19
"133","6/26/14",2,5,"Oenothera_albicaulis",4
"392","8/17/14",2,5,"Opuntia_polyacantha",2
"389","8/17/14",2,5,"Sphaeralcea_coccinea",6
"388","8/17/14",2,5,"Sporobolus_cryptandrus",6
"390","8/17/14",2,5,"Thelesperma_filifolium",4
"137","6/26/14",2,5,"Tragopogon_dubius",4
"138","6/26/14",2,6,"Bouteloua_gracilis",66
"139","6/26/14",2,6,"Carex_duriuscula",17
"141","6/26/14",2,6,"Elymus_elymoides",3
"142","6/26/14",2,6,"Euphorbia_glyptosperma",1
"143","6/26/14",2,6,"Festuca_octoflora",3
"397","8/17/14",2,6,"Ipomopsis_laxiflora",2
"145","6/26/14",2,6,"Sphaeralcea_coccinea",1
"146","6/26/14",2,6,"Thelesperma_filifolium",8
"148","6/26/14",2,7,"Bouteloua_gracilis",55
"149","6/26/14",2,7,"Carex_duriuscula",14
"151","6/26/14",2,7,"Elymus_elymoides",4
"152","6/26/14",2,7,"Festuca_octoflora",46
"405","8/17/14",2,7,"Sphaeralcea_coccinea",50
"404","8/17/14",2,7,"Sporobolus_cryptandrus",5
"154","6/26/14",2,7,"Thelesperma_filifolium",3
"408","8/17/14",2,8,"Bouteloua_gracilis",85
"157","6/26/14",2,8,"Carex_duriuscula",17
"159","6/26/14",2,8,"Elymus_elymoides",19
"160","6/26/14",2,8,"Euphorbia_glyptosperma",1
"161","6/26/14",2,8,"Festuca_octoflora",21
"162","6/26/14",2,8,"Oenothera_albicaulis",2
"412","8/17/14",2,8,"Sphaeralcea_coccinea",3
"410","8/17/14",2,8,"Sporobolus_cryptandrus",2
"164","6/26/14",2,9,"Bouteloua_gracilis",72
"165","6/26/14",2,9,"Echinocereus_viridiflorus",1
"166","6/26/14",2,9,"Elymus_elymoides",4
"415","8/17/14",2,9,"Euphorbia_glyptosperma",1
"167","6/26/14",2,9,"Festuca_octoflora",42
"416","8/17/14",2,9,"Picradeniopsis_oppositifolia",11
"169","6/26/14",2,9,"Plantago_patagonica",1
"418","8/17/14",2,9,"Sphaeralcea_coccinea",2
"419","8/17/14",2,9,"Thelesperma_filifolium",7
"421","8/17/14",2,10,"Bouteloua_gracilis",80
"180","6/26/14",2,10,"Chenopodium_album",1
"174","6/26/14",2,10,"Elymus_elymoides",21
"424","8/17/14",2,10,"Euphorbia_glyptosperma",6
"176","6/26/14",2,10,"Festuca_octoflora",3
"177","6/26/14",2,10,"Oenothera_albicaulis",2
"178","6/26/14",2,10,"Sphaeralcea_coccinea",1
"426","8/17/14",2,10,"Thelesperma_filifolium",15
"182","6/26/14",3,1,"Bouteloua_gracilis",48
"428","8/17/14",3,1,"Bouteloua_hirsuta",20
"185","6/26/14",3,1,"Elymus_elymoides",3
"186","6/26/14",3,1,"Festuca_octoflora",23
"430","8/17/14",3,1,"Ipomopsis_laxiflora",5
"188","6/26/14",3,1,"Oenothera_albicaulis",25
"189","6/26/14",3,1,"Opuntia_polyacantha",9
"431","8/17/14",3,1,"Picradeniopsis_oppositifolia",15
"436","8/17/14",3,2,"Bouteloua_dactyloides",25
"191","6/26/14",3,2,"Bouteloua_gracilis",65
"193","6/26/14",3,2,"Carex_duriuscula",10
"439","8/17/14",3,2,"Echinocereus_viridiflorus",1
"195","6/26/14",3,2,"Festuca_octoflora",85
"196","6/26/14",3,2,"Plantago_patagonica",1
"197","6/26/14",3,2,"Talinum_parviflorum",1
"444","8/17/14",3,3,"Artemisia_frigida",8
"442","8/17/14",3,3,"Bouteloua_dactyloides",25
"440","8/17/14",3,3,"Bouteloua_gracilis",55
"200","6/26/14",3,3,"Bouteloua_hirsuta",13
"201","6/26/14",3,3,"Carex_duriuscula",3
"202","6/26/14",3,3,"Elymus_elymoides",3
"445","8/17/14",3,3,"Euphorbia_glyptosperma",1
"203","6/26/14",3,3,"Festuca_octoflora",50
"446","8/17/14",3,3,"Heterotheca_villosa",3
"205","6/26/14",3,3,"Oenothera_albicaulis",2
"206","6/26/14",3,3,"Pascopyrum_smithii",2
"447","8/17/14",3,3,"Sphaeralcea_coccinea",9
"209","6/26/14",3,4,"Bouteloua_gracilis",72
"449","8/17/14",3,4,"Bouteloua_hirsuta",5
"210","6/26/14",3,4,"Carex_duriuscula",1
"212","6/26/14",3,4,"Echinocereus_viridiflorus",1
"213","6/26/14",3,4,"Elymus_elymoides",6
"214","6/26/14",3,4,"Festuca_octoflora",15
"451","8/17/14",3,4,"Ipomopsis_laxiflora",11
"216","6/26/14",3,4,"Oenothera_albicaulis",6
"217","6/26/14",3,4,"Opuntia_polyacantha",1
"218","6/26/14",3,4,"Sphaeralcea_coccinea",14
"457","8/17/14",3,5,"Bouteloua_gracilis",65
"221","6/26/14",3,5,"Bouteloua_hirsuta",2
"222","6/26/14",3,5,"Carex_duriuscula",38
"224","6/26/14",3,5,"Elymus_elymoides",2
"230","6/26/14",3,5,"Evolvulus_nuttallianus",1
"225","6/26/14",3,5,"Festuca_octoflora",9
"458","8/17/14",3,5,"Gutierrezia_sarothrae",4
"227","6/26/14",3,5,"Heterotheca_villosa",2
"459","8/17/14",3,5,"Ipomopsis_laxiflora",13
"460","8/17/14",3,5,"Machaeranthera_tanacetifolia",22
"461","8/17/14",3,5,"Sphaeralcea_coccinea",15
"463","8/17/14",3,6,"Bouteloua_gracilis",85
"233","6/26/14",3,6,"Carex_duriuscula",1
"235","6/26/14",3,6,"Festuca_octoflora",2
"236","6/26/14",3,6,"Muhlenbergia_torreyi",1
"237","6/26/14",3,6,"Opuntia_polyacantha",8
"238","6/26/14",3,6,"Sphaeralcea_coccinea",1
"470","8/17/14",3,7,"Bouteloua_dactyloides",20
"239","6/26/14",3,7,"Bouteloua_gracilis",78
"241","6/26/14",3,7,"Carex_duriuscula",5
"242","6/26/14",3,7,"Cirsium_undulatum",1
"244","6/26/14",3,7,"Elymus_elymoides",2
"245","6/26/14",3,7,"Festuca_octoflora",1
"246","6/26/14",3,7,"Plantago_patagonica",1
"247","6/26/14",3,7,"Sphaeralcea_coccinea",5
"476","8/17/14",3,8,"Bouteloua_dactyloides",25
"475","8/17/14",3,8,"Bouteloua_gracilis",65
"251","6/26/14",3,8,"Festuca_octoflora",33
"477","8/17/14",3,8,"Ipomopsis_laxiflora",22
"253","6/26/14",3,8,"Oenothera_albicaulis",3
"481","8/17/14",3,8,"Opuntia_polyacantha",2
"478","8/17/14",3,8,"Plantago_patagonica",3
"256","6/26/14",3,8,"Sisymbrium_altissimum",1
"479","8/17/14",3,8,"Sphaeralcea_coccinea",2
"480","8/17/14",3,8,"Tragopogon_dubius",1
"483","8/17/14",3,9,"Bouteloua_gracilis",60
"259","6/26/14",3,9,"Bouteloua_hirsuta",2
"260","6/26/14",3,9,"Carex_duriuscula",11
"262","6/26/14",3,9,"Festuca_octoflora",90
"263","6/26/14",3,9,"Opuntia_polyacantha",2
"264","6/26/14",3,9,"Plantago_patagonica",1
"484","8/17/14",3,9,"Psoralidium_tenuiflorum",4
"266","6/26/14",3,9,"Sphaeralcea_coccinea",6
"488","8/17/14",3,10,"Bouteloua_gracilis",45
"489","8/17/14",3,10,"Bouteloua_hirsuta",1
"268","6/26/14",3,10,"Carex_duriuscula",15
"270","6/26/14",3,10,"Elymus_elymoides",1
"271","6/26/14",3,10,"Festuca_octoflora",93
"272","6/26/14",3,10,"Oenothera_albicaulis",1
"273","6/26/14",3,10,"Plantago_patagonica",3
"491","8/17/14",3,10,"Sphaeralcea_coccinea",3
